"1C.SPC"
WL/nm,Abs
347.00,0.3482
346.00,0.3495
345.00,0.3510
344.00,0.3521
343.00,0.3539
342.00,0.3549
341.00,0.3564
340.00,0.3551
339.00,0.3504
338.00,0.3512
337.00,0.3514
336.00,0.3519
335.00,0.3532
334.00,0.3552
333.00,0.3564
332.00,0.3587
331.00,0.3604
330.00,0.3623
329.00,0.3644
328.00,0.3659
327.00,0.3678
326.00,0.3700
325.00,0.3723
324.00,0.3744
323.00,0.3769
322.00,0.3785
321.00,0.3808
320.00,0.3831
319.00,0.3850
318.00,0.3872
317.00,0.3889
316.00,0.3914
315.00,0.3936
314.00,0.3963
313.00,0.3985
312.00,0.4012
311.00,0.4030
310.00,0.4054
309.00,0.4083
308.00,0.4099
307.00,0.4119
306.00,0.4146
305.00,0.4152
304.00,0.4185
303.00,0.4219
302.00,0.4251
301.00,0.4290
300.00,0.4319
