"WCC4.TMC"
Time/sec,Abs
0.0,1.5195
1.0,1.5289
2.0,1.5370
3.0,1.5487
4.0,1.5607
5.0,1.5739
6.0,1.5865
7.0,1.5986
8.0,1.6078
9.0,1.6099
10.0,1.5998
11.0,1.5795
12.0,1.5522
13.0,1.5211
14.0,1.4916
15.0,1.4692
16.0,1.4549
17.0,1.4449
18.0,1.4362
19.0,1.4268
20.0,1.4166
21.0,1.4071
22.0,1.3987
23.0,1.3916
24.0,1.3857
25.0,1.3806
26.0,1.3758
27.0,1.3713
28.0,1.3670
29.0,1.3630
30.0,1.3590
31.0,1.3550
32.0,1.3510
33.0,1.3472
34.0,1.3438
35.0,1.3408
36.0,1.3379
37.0,1.3345
38.0,1.3305
39.0,1.3260
40.0,1.3213
41.0,1.3165
42.0,1.3116
43.0,1.3071
44.0,1.3037
45.0,1.3021
46.0,1.3029
47.0,1.3053
48.0,1.3092
49.0,1.3139
50.0,1.3179
51.0,1.3204
52.0,1.3216
53.0,1.3223
54.0,1.3228
55.0,1.3238
56.0,1.3249
57.0,1.3255
58.0,1.3251
59.0,1.3239
60.0,1.3221
61.0,1.3199
62.0,1.3174
63.0,1.3148
64.0,1.3121
65.0,1.3095
66.0,1.3066
67.0,1.3034
68.0,1.3001
69.0,1.2963
70.0,1.2921
71.0,1.2877
72.0,1.2833
73.0,1.2791
74.0,1.2747
75.0,1.2705
76.0,1.2664
77.0,1.2623
78.0,1.2579
79.0,1.2531
80.0,1.2478
81.0,1.2420
82.0,1.2360
83.0,1.2300
84.0,1.2239
85.0,1.2179
86.0,1.2120
87.0,1.2061
88.0,1.2006
89.0,1.1953
90.0,1.1900
91.0,1.1848
92.0,1.1796
93.0,1.1743
94.0,1.1692
95.0,1.1641
96.0,1.1592
97.0,1.1545
98.0,1.1499
99.0,1.1454
100.0,1.1408
101.0,1.1362
102.0,1.1315
103.0,1.1267
104.0,1.1218
105.0,1.1168
106.0,1.1118
107.0,1.1067
108.0,1.1016
109.0,1.0966
110.0,1.0919
111.0,1.0873
112.0,1.0826
113.0,1.0780
114.0,1.0733
115.0,1.0683
116.0,1.0632
117.0,1.0580
118.0,1.0525
119.0,1.0470
120.0,1.0414
121.0,1.0358
122.0,1.0303
123.0,1.0248
124.0,1.0192
125.0,1.0138
126.0,1.0083
127.0,1.0031
128.0,0.9980
129.0,0.9932
130.0,0.9886
131.0,0.9842
132.0,0.9801
133.0,0.9761
134.0,0.9722
135.0,0.9686
136.0,0.9651
137.0,0.9619
138.0,0.9588
139.0,0.9558
140.0,0.9528
141.0,0.9500
142.0,0.9472
143.0,0.9443
144.0,0.9413
145.0,0.9384
146.0,0.9355
147.0,0.9327
148.0,0.9299
149.0,0.9271
150.0,0.9244
151.0,0.9217
152.0,0.9192
153.0,0.9165
154.0,0.9141
155.0,0.9116
156.0,0.9091
157.0,0.9067
158.0,0.9044
159.0,0.9021
160.0,0.8999
161.0,0.8977
162.0,0.8956
163.0,0.8935
164.0,0.8914
165.0,0.8894
166.0,0.8874
167.0,0.8854
168.0,0.8835
169.0,0.8815
170.0,0.8795
171.0,0.8774
172.0,0.8753
173.0,0.8730
174.0,0.8706
175.0,0.8681
176.0,0.8655
177.0,0.8628
178.0,0.8600
179.0,0.8571
180.0,0.8542
181.0,0.8512
182.0,0.8482
183.0,0.8451
184.0,0.8421
185.0,0.8390
186.0,0.8358
187.0,0.8327
188.0,0.8295
189.0,0.8262
190.0,0.8230
191.0,0.8196
192.0,0.8162
193.0,0.8128
194.0,0.8093
195.0,0.8057
196.0,0.8022
197.0,0.7986
198.0,0.7950
199.0,0.7914
200.0,0.7878
201.0,0.7842
202.0,0.7806
203.0,0.7770
204.0,0.7733
205.0,0.7698
206.0,0.7662
207.0,0.7626
208.0,0.7591
209.0,0.7556
210.0,0.7522
211.0,0.7488
212.0,0.7454
213.0,0.7421
214.0,0.7388
215.0,0.7355
216.0,0.7323
217.0,0.7291
218.0,0.7260
219.0,0.7228
220.0,0.7197
221.0,0.7167
222.0,0.7138
223.0,0.7108
224.0,0.7080
225.0,0.7053
226.0,0.7026
227.0,0.7001
228.0,0.6976
229.0,0.6952
230.0,0.6929
231.0,0.6906
232.0,0.6884
233.0,0.6863
234.0,0.6842
235.0,0.6821
236.0,0.6801
237.0,0.6781
238.0,0.6761
239.0,0.6741
240.0,0.6721
241.0,0.6701
242.0,0.6680
243.0,0.6659
244.0,0.6638
245.0,0.6616
246.0,0.6593
247.0,0.6571
248.0,0.6548
249.0,0.6525
250.0,0.6502
251.0,0.6479
252.0,0.6456
253.0,0.6433
254.0,0.6411
255.0,0.6388
256.0,0.6365
257.0,0.6342
258.0,0.6320
259.0,0.6297
260.0,0.6275
261.0,0.6252
262.0,0.6229
263.0,0.6206
264.0,0.6184
265.0,0.6161
266.0,0.6137
267.0,0.6114
268.0,0.6090
269.0,0.6067
270.0,0.6044
271.0,0.6022
272.0,0.6000
273.0,0.5978
274.0,0.5956
275.0,0.5935
276.0,0.5915
277.0,0.5893
278.0,0.5872
279.0,0.5852
280.0,0.5832
281.0,0.5812
282.0,0.5792
283.0,0.5772
284.0,0.5752
285.0,0.5732
286.0,0.5713
287.0,0.5692
288.0,0.5672
289.0,0.5651
290.0,0.5631
291.0,0.5610
292.0,0.5590
293.0,0.5570
294.0,0.5550
295.0,0.5530
296.0,0.5510
297.0,0.5490
298.0,0.5470
299.0,0.5450
300.0,0.5431
301.0,0.5411
302.0,0.5392
303.0,0.5372
304.0,0.5353
305.0,0.5334
306.0,0.5315
307.0,0.5296
308.0,0.5277
309.0,0.5257
310.0,0.5239
311.0,0.5219
312.0,0.5201
313.0,0.5182
314.0,0.5164
315.0,0.5145
316.0,0.5126
317.0,0.5108
318.0,0.5090
319.0,0.5072
320.0,0.5054
321.0,0.5036
322.0,0.5018
323.0,0.5001
324.0,0.4983
325.0,0.4966
326.0,0.4949
327.0,0.4932
328.0,0.4915
329.0,0.4899
330.0,0.4882
331.0,0.4865
332.0,0.4848
333.0,0.4832
334.0,0.4816
335.0,0.4799
336.0,0.4782
337.0,0.4766
338.0,0.4749
339.0,0.4734
340.0,0.4718
341.0,0.4702
342.0,0.4686
343.0,0.4670
344.0,0.4655
345.0,0.4639
346.0,0.4624
347.0,0.4608
348.0,0.4594
349.0,0.4580
350.0,0.4565
351.0,0.4551
352.0,0.4537
353.0,0.4523
354.0,0.4510
355.0,0.4496
356.0,0.4482
357.0,0.4469
358.0,0.4456
359.0,0.4443
360.0,0.4429
361.0,0.4416
362.0,0.4403
363.0,0.4390
364.0,0.4376
365.0,0.4363
366.0,0.4350
367.0,0.4336
368.0,0.4322
369.0,0.4309
370.0,0.4295
371.0,0.4282
372.0,0.4269
373.0,0.4256
374.0,0.4243
375.0,0.4230
376.0,0.4217
377.0,0.4204
378.0,0.4190
379.0,0.4177
380.0,0.4164
381.0,0.4151
382.0,0.4138
383.0,0.4125
384.0,0.4112
385.0,0.4099
386.0,0.4086
387.0,0.4073
388.0,0.4060
389.0,0.4048
390.0,0.4035
391.0,0.4022
392.0,0.4010
393.0,0.3998
394.0,0.3986
395.0,0.3974
396.0,0.3963
397.0,0.3951
398.0,0.3940
399.0,0.3928
400.0,0.3917
401.0,0.3905
402.0,0.3894
403.0,0.3882
404.0,0.3871
405.0,0.3860
406.0,0.3849
407.0,0.3838
408.0,0.3828
409.0,0.3817
410.0,0.3806
411.0,0.3796
412.0,0.3785
413.0,0.3775
414.0,0.3764
415.0,0.3754
416.0,0.3744
417.0,0.3733
418.0,0.3723
419.0,0.3712
420.0,0.3702
421.0,0.3692
422.0,0.3682
423.0,0.3673
424.0,0.3663
425.0,0.3653
426.0,0.3644
427.0,0.3634
428.0,0.3624
429.0,0.3614
430.0,0.3604
431.0,0.3595
432.0,0.3586
433.0,0.3576
434.0,0.3566
435.0,0.3557
436.0,0.3547
437.0,0.3538
438.0,0.3528
439.0,0.3519
440.0,0.3509
441.0,0.3500
442.0,0.3491
443.0,0.3483
444.0,0.3474
445.0,0.3466
446.0,0.3458
447.0,0.3449
448.0,0.3441
449.0,0.3431
450.0,0.3422
451.0,0.3414
452.0,0.3405
453.0,0.3397
454.0,0.3389
455.0,0.3381
456.0,0.3374
457.0,0.3367
458.0,0.3360
459.0,0.3352
460.0,0.3345
461.0,0.3338
462.0,0.3331
463.0,0.3323
464.0,0.3315
465.0,0.3308
466.0,0.3300
467.0,0.3293
468.0,0.3286
469.0,0.3278
470.0,0.3271
471.0,0.3264
472.0,0.3258
473.0,0.3251
474.0,0.3245
475.0,0.3239
476.0,0.3231
477.0,0.3224
478.0,0.3216
479.0,0.3209
480.0,0.3202
