"WCC5.TMC"
Time/sec,Abs
0.0,1.6414
1.0,1.6396
2.0,1.6379
3.0,1.6356
4.0,1.6333
5.0,1.6315
6.0,1.6301
7.0,1.6281
8.0,1.6258
9.0,1.6238
10.0,1.6214
11.0,1.6189
12.0,1.6167
13.0,1.6144
14.0,1.6121
15.0,1.6100
16.0,1.6081
17.0,1.6063
18.0,1.6037
19.0,1.6014
20.0,1.5995
21.0,1.5975
22.0,1.5956
23.0,1.5936
24.0,1.5916
25.0,1.5896
26.0,1.5876
27.0,1.5855
28.0,1.5834
29.0,1.5810
30.0,1.5787
31.0,1.5763
32.0,1.5740
33.0,1.5717
34.0,1.5695
35.0,1.5676
36.0,1.5655
37.0,1.5635
38.0,1.5615
39.0,1.5594
40.0,1.5573
41.0,1.5552
42.0,1.5530
43.0,1.5509
44.0,1.5487
45.0,1.5468
46.0,1.5446
47.0,1.5426
48.0,1.5405
49.0,1.5384
50.0,1.5361
51.0,1.5339
52.0,1.5318
53.0,1.5295
54.0,1.5274
55.0,1.5253
56.0,1.5232
57.0,1.5210
58.0,1.5187
59.0,1.5165
60.0,1.5143
61.0,1.5120
62.0,1.5097
63.0,1.5074
64.0,1.5050
65.0,1.5026
66.0,1.5003
67.0,1.4981
68.0,1.4959
69.0,1.4935
70.0,1.4913
71.0,1.4890
72.0,1.4869
73.0,1.4847
74.0,1.4824
75.0,1.4801
76.0,1.4778
77.0,1.4755
78.0,1.4729
79.0,1.4704
80.0,1.4681
81.0,1.4658
82.0,1.4635
83.0,1.4611
84.0,1.4588
85.0,1.4565
86.0,1.4542
87.0,1.4519
88.0,1.4497
89.0,1.4473
90.0,1.4450
91.0,1.4427
92.0,1.4403
93.0,1.4379
94.0,1.4357
95.0,1.4334
96.0,1.4312
97.0,1.4290
98.0,1.4268
99.0,1.4245
100.0,1.4222
101.0,1.4199
102.0,1.4177
103.0,1.4154
104.0,1.4133
105.0,1.4111
106.0,1.4090
107.0,1.4070
108.0,1.4047
109.0,1.4026
110.0,1.4003
111.0,1.3977
112.0,1.3952
113.0,1.3925
114.0,1.3900
115.0,1.3875
116.0,1.3852
117.0,1.3829
118.0,1.3806
119.0,1.3783
120.0,1.3759
121.0,1.3736
122.0,1.3712
123.0,1.3689
124.0,1.3665
125.0,1.3642
126.0,1.3619
127.0,1.3596
128.0,1.3574
129.0,1.3552
130.0,1.3529
131.0,1.3505
132.0,1.3483
133.0,1.3458
134.0,1.3435
135.0,1.3412
136.0,1.3389
137.0,1.3367
138.0,1.3343
139.0,1.3321
140.0,1.3300
141.0,1.3277
142.0,1.3255
143.0,1.3232
144.0,1.3209
145.0,1.3186
146.0,1.3163
147.0,1.3140
148.0,1.3117
149.0,1.3094
150.0,1.3071
151.0,1.3048
152.0,1.3025
153.0,1.3002
154.0,1.2980
155.0,1.2958
156.0,1.2937
157.0,1.2914
158.0,1.2892
159.0,1.2870
160.0,1.2849
161.0,1.2827
162.0,1.2806
163.0,1.2785
164.0,1.2763
165.0,1.2741
166.0,1.2719
167.0,1.2696
168.0,1.2672
169.0,1.2649
170.0,1.2626
171.0,1.2603
172.0,1.2580
173.0,1.2557
174.0,1.2534
175.0,1.2510
176.0,1.2488
177.0,1.2465
178.0,1.2442
179.0,1.2419
180.0,1.2398
181.0,1.2375
182.0,1.2353
183.0,1.2331
184.0,1.2310
185.0,1.2287
186.0,1.2265
187.0,1.2243
188.0,1.2222
189.0,1.2200
190.0,1.2178
191.0,1.2156
192.0,1.2133
193.0,1.2112
194.0,1.2090
195.0,1.2067
196.0,1.2045
197.0,1.2023
198.0,1.2001
199.0,1.1980
200.0,1.1958
201.0,1.1937
202.0,1.1916
203.0,1.1895
204.0,1.1874
205.0,1.1853
206.0,1.1832
207.0,1.1811
208.0,1.1790
209.0,1.1769
210.0,1.1747
211.0,1.1727
212.0,1.1705
213.0,1.1683
214.0,1.1662
215.0,1.1640
216.0,1.1618
217.0,1.1597
218.0,1.1576
219.0,1.1555
220.0,1.1533
221.0,1.1512
222.0,1.1491
223.0,1.1470
224.0,1.1449
225.0,1.1427
226.0,1.1406
227.0,1.1385
228.0,1.1363
229.0,1.1343
230.0,1.1322
231.0,1.1302
232.0,1.1281
233.0,1.1261
234.0,1.1241
235.0,1.1221
236.0,1.1201
237.0,1.1180
238.0,1.1161
239.0,1.1141
240.0,1.1122
241.0,1.1102
242.0,1.1083
243.0,1.1064
244.0,1.1045
245.0,1.1027
246.0,1.1008
247.0,1.0989
248.0,1.0969
249.0,1.0949
250.0,1.0930
251.0,1.0910
252.0,1.0890
253.0,1.0870
254.0,1.0850
255.0,1.0830
256.0,1.0810
257.0,1.0789
