"WCC1.TMC"
Time/sec,Abs
0.0,0.4424
1.0,0.4402
2.0,0.4380
3.0,0.4358
4.0,0.4336
5.0,0.4315
6.0,0.4294
7.0,0.4274
8.0,0.4253
9.0,0.4233
10.0,0.4213
11.0,0.4192
12.0,0.4172
13.0,0.4153
14.0,0.4133
15.0,0.4114
16.0,0.4096
17.0,0.4077
18.0,0.4059
19.0,0.4041
20.0,0.4023
21.0,0.4005
22.0,0.3987
23.0,0.3970
24.0,0.3953
25.0,0.3936
26.0,0.3919
27.0,0.3902
28.0,0.3885
29.0,0.3869
30.0,0.3852
31.0,0.3835
32.0,0.3819
33.0,0.3803
34.0,0.3787
35.0,0.3771
36.0,0.3756
37.0,0.3741
38.0,0.3726
39.0,0.3711
40.0,0.3697
41.0,0.3683
42.0,0.3668
43.0,0.3655
44.0,0.3642
45.0,0.3628
46.0,0.3615
47.0,0.3602
48.0,0.3589
49.0,0.3576
50.0,0.3563
51.0,0.3551
52.0,0.3538
53.0,0.3526
54.0,0.3514
55.0,0.3502
56.0,0.3490
57.0,0.3478
58.0,0.3467
59.0,0.3455
60.0,0.3444
61.0,0.3432
62.0,0.3421
63.0,0.3410
64.0,0.3399
65.0,0.3389
66.0,0.3378
67.0,0.3367
68.0,0.3357
69.0,0.3347
70.0,0.3337
71.0,0.3327
72.0,0.3318
73.0,0.3308
74.0,0.3298
75.0,0.3289
76.0,0.3279
77.0,0.3270
78.0,0.3260
79.0,0.3252
80.0,0.3244
81.0,0.3235
82.0,0.3226
83.0,0.3217
84.0,0.3209
85.0,0.3200
86.0,0.3191
87.0,0.3183
88.0,0.3176
89.0,0.3168
90.0,0.3160
91.0,0.3153
92.0,0.3144
93.0,0.3136
94.0,0.3129
95.0,0.3121
96.0,0.3113
97.0,0.3106
98.0,0.3099
99.0,0.3091
100.0,0.3083
101.0,0.3075
102.0,0.3068
103.0,0.3061
104.0,0.3054
105.0,0.3047
106.0,0.3040
107.0,0.3034
108.0,0.3028
109.0,0.3021
110.0,0.3015
111.0,0.3010
112.0,0.3004
113.0,0.2999
114.0,0.2993
115.0,0.2987
116.0,0.2981
117.0,0.2976
118.0,0.2971
119.0,0.2966
120.0,0.2960
121.0,0.2954
122.0,0.2948
123.0,0.2943
