Время, с;Напряжение, В;Ток, А
0.358999997377;-2.299139976501;-0.024975894019
0.547999978065;-2.300563097;-0.027747035027
0.727999985218;-2.300563097;-0.025906285271
0.907999992371;-2.300563097;-0.02554417029
1.088000059128;-2.300563097;-0.025378201157
1.268000006676;-2.300563097;-0.025302760303
1.447999954224;-2.300563097;-0.025257496163
1.628000020981;-2.300563097;-0.025227319449
1.807999968529;-2.300563097;-0.025197144598
1.988000035286;-2.300563097;-0.025166967884
2.167999982834;-2.300563097;-0.025151878595
2.348000049591;-2.300563097;-0.025121703744
2.528000116348;-2.300563097;-0.025121703744
2.707999944687;-2.300563097;-0.02509152703
2.888000011444;-2.300563097;-0.02509152703
3.068000078201;-2.300563097;-0.025076439604
3.24799990654;-2.300563097;-0.025076439604
3.427999973297;-2.300563097;-0.025061350316
3.608000040054;-2.300563097;-0.02504626289
3.788000106812;-2.300563097;-0.02504626289
3.96799993515;-2.300563097;-0.02504626289
4.147999763489;-2.300563097;-0.02504626289
4.328000068665;-2.300563097;-0.02504626289
4.507999897003;-2.300563097;-0.02504626289
4.688000202179;-2.300563097;-0.02504626289
4.868000030518;-2.300563097;-0.02504626289
5.047999858856;-2.300563097;-0.025031173602
5.228000164032;-2.300563097;-0.025031173602
5.407999992371;-2.300563097;-0.025031173602
5.587999820709;-2.300563097;-0.025031173602
5.768000125885;-2.300563097;-0.025031173602
5.947999954224;-2.300563097;-0.025016086176
6.127999782562;-2.300563097;-0.02500099875
6.308000087738;-2.300563097;-0.024985909462
6.487999916077;-2.300563097;-0.024985909462
6.668000221252;-2.300563097;-0.024985909462
6.848000049591;-2.300563097;-0.024985909462
7.02799987793;-2.300563097;-0.024985909462
7.208000183105;-2.300563097;-0.024985909462
7.388000011444;-2.300563097;-0.024985909462
7.567999839783;-2.300405025482;-0.024970822036
7.748000144958;-2.300405025482;-0.024970822036
7.927999973297;-2.300563097;-0.024955734611
8.107999801636;-2.300563097;-0.024955734611
8.288000106812;-2.300563097;-0.024955734611
8.468000411987;-2.300405025482;-0.024955734611
8.647999763489;-2.300563097;-0.024955734611
8.828000068665;-2.300563097;-0.024940645322
9.00800037384;-2.300563097;-0.024925557896
9.187999725342;-2.300563097;-0.024910470471
9.368000030518;-2.300563097;-0.024910470471
9.548000335693;-2.300405025482;-0.024895381182
9.727999687195;-2.300563097;-0.024910470471
9.907999992371;-2.300563097;-0.024910470471
10.088000297546;-2.300563097;-0.024910470471
10.267999649048;-2.300563097;-0.024880293757
10.447999954224;-2.300563097;-0.024850117043
10.628000259399;-2.300563097;-0.024850117043
10.807999610901;-2.300563097;-0.024850117043
10.987999916077;-2.300563097;-0.024850117043
11.168000221252;-2.300563097;-0.024850117043
11.347999572754;-2.300563097;-0.024850117043
11.52799987793;-2.300563097;-0.024850117043
11.708000183105;-2.300563097;-0.024850117043
11.887999534607;-2.300563097;-0.024850117043
12.067999839783;-2.300563097;-0.024850117043
12.248000144958;-2.300563097;-0.024850117043
12.428000450134;-2.300563097;-0.024865204468
12.607999801636;-2.300563097;-0.024865204468
12.788000106812;-2.300563097;-0.024865204468
12.968000411987;-2.300563097;-0.024865204468
13.147999763489;-2.300563097;-0.024850117043
13.328000068665;-2.300563097;-0.024850117043
13.50800037384;-2.300563097;-0.024835029617
13.687999725342;-2.300563097;-0.024819940329
13.868000030518;-2.300563097;-0.024819940329
14.048000335693;-2.300563097;-0.024804852903
14.227999687195;-2.300563097;-0.024819940329
14.407999992371;-2.300563097;-0.024804852903
14.588000297546;-2.300563097;-0.024804852903
14.767999649048;-2.300563097;-0.024804852903
14.947999954224;-2.300563097;-0.024819940329
15.128000259399;-2.300563097;-0.024804852903
15.307999610901;-2.300563097;-0.024804852903
15.487999916077;-2.300563097;-0.024804852903
15.668000221252;-2.300563097;-0.024789765477
15.847999572754;-2.300563097;-0.024774676189
16.02799987793;-2.300563097;-0.024774676189
16.208000183105;-2.300563097;-0.024759588763
16.388000488281;-2.300563097;-0.024759588763
16.568000793457;-2.300563097;-0.024759588763
16.747999191284;-2.300563097;-0.024744499475
16.92799949646;-2.300563097;-0.024744499475
17.107999801636;-2.300563097;-0.024729412049
17.288000106812;-2.300563097;-0.024729412049
17.468000411987;-2.300563097;-0.024729412049
17.648000717163;-2.300563097;-0.024729412049
17.82799911499;-2.300563097;-0.024729412049
18.007999420166;-2.300563097;-0.024714324623
18.187999725342;-2.300563097;-0.024714324623
18.368000030518;-2.300563097;-0.024699235335
18.548000335693;-2.300563097;-0.024699235335
18.728000640869;-2.300563097;-0.024684147909
18.908000946045;-2.300563097;-0.024684147909
19.087999343872;-2.300563097;-0.024699235335
19.267999649048;-2.300563097;-0.024684147909
19.447999954224;-2.300563097;-0.024684147909
19.628000259399;-2.300563097;-0.024684147909
19.808000564575;-2.300563097;-0.024684147909
19.988000869751;-2.300563097;-0.024669060484
20.167999267578;-2.300563097;-0.024669060484
20.347999572754;-2.300563097;-0.024669060484
20.52799987793;-2.300563097;-0.024653971195
20.708000183105;-2.300563097;-0.024653971195
20.888000488281;-2.300563097;-0.02463888377
21.068000793457;-2.300563097;-0.02463888377
21.247999191284;-2.300563097;-0.024623796344
21.42799949646;-2.300563097;-0.024623796344
21.607999801636;-2.300563097;-0.024623796344
21.788000106812;-2.300563097;-0.024623796344
21.968000411987;-2.300563097;-0.024623796344
22.148000717163;-2.300563097;-0.024608707055
22.32799911499;-2.300563097;-0.024608707055
22.507999420166;-2.300563097;-0.024608707055
22.687999725342;-2.300563097;-0.024608707055
22.868000030518;-2.300563097;-0.02459361963
